dia_de_semana,hora,linea,estacion,trx_totales
False,10,H,SANTA FE,1853.0
False,10,H,VENEZUELA,2007.0
False,11,A,ACOYTE,3085.0
False,11,A,ALBERTI,1496.0
False,11,A,CARABOBO,2512.0
False,11,A,CASTRO BARROS,2507.0
False,11,A,CONGRESO,2416.0
False,11,A,FLORES,2555.0
False,11,A,LIMA,1290.0
False,11,A,LORIA,2060.0
False,11,A,PASCO,857.0
False,11,A,PERU,983.0
False,11,A,PIEDRAS,715.0
False,11,A,PLAZA DE MAYO,1286.0
False,11,A,PLAZA MISERERE,3372.0
False,11,A,PRIMERA JUNTA,3021.0
False,11,A,PUAN,1656.0
False,11,A,RIO DE JANEIRO,2561.0
False,11,A,SAENZ PEÃÂÃÂ±A ,1451.0
False,11,A,SAN PEDRITO,6758.0
False,11,B,ANGEL GALLARDO,3396.0
False,11,B,CALLAO.B,2995.0
False,11,B,CARLOS GARDEL,3380.0
False,11,B,CARLOS PELLEGRINI,4104.0
False,11,B,DORREGO,2066.0
False,11,B,ECHEVERRIA,1268.0
False,11,B,FEDERICO LACROZE,6104.0
False,11,B,FLORIDA,1560.0
False,11,B,LEANDRO N. ALEM,2324.0
False,11,B,LOS INCAS,2096.0
False,11,B,MALABIA,3866.0
False,11,B,MEDRANO,4560.0
False,11,B,PASTEUR,3052.0
False,11,B,PUEYRREDON,3504.0
False,11,B,ROSAS,5635.0
False,11,B,TRONADOR,976.0
False,11,B,URUGUAY,1920.0
False,11,C,AVENIDA DE MAYO,822.0
False,11,C,CONSTITUCION,20288.0
False,11,C,DIAGONAL NORTE,549.0
False,11,C,GENERAL SAN MARTIN,987.0
False,11,C,INDEPENDENCIA,1386.0
False,11,C,LAVALLE,1185.0
False,11,C,MARIANO MORENO,867.0
False,11,C,RETIRO,7738.0
False,11,C,SAN JUAN,1315.0
False,11,D,9 DE JULIO,742.0
False,11,D,AGÃÂÃÂ¼ERO,2701.0
False,11,D,BULNES,3746.0
False,11,D,CALLAO,2420.0
False,11,D,CATEDRAL,1814.0
False,11,D,CONGRESO DE TUCUMAN,5745.0
False,11,D,FACULTAD DE MEDICINA,2892.0
False,11,D,JOSE HERNANDEZ,2138.0
False,11,D,JURAMENTO,3501.0
False,11,D,MINISTRO CARRANZA,2654.0
False,11,D,OLLEROS,2568.0
False,11,D,PALERMO,4205.0
False,11,D,PLAZA ITALIA,2650.0
False,11,D,PUEYRREDON.D,1891.0
False,11,D,SCALABRINI ORTIZ,2775.0
False,11,D,TRIBUNALES,1426.0
False,11,E,AVENIDA LA PLATA,1197.0
False,11,E,BOEDO,1318.0
False,11,E,BOLIVAR,950.0
False,11,E,CATALINAS,250.0
False,11,E,CORREO CENTRAL,527.0
False,11,E,EMILIO MITRE,1000.0
False,11,E,ENTRE RIOS,1044.0
False,11,E,GENERAL BELGRANO,509.0
False,11,E,INDEPENDENCIA.H,1088.0
False,11,E,JOSE MARIA MORENO,796.0
False,11,E,JUJUY,952.0
False,11,E,MEDALLA MILAGROSA,401.0
False,11,E,PICHINCHA,604.0
